Center Name,Address,City,State,ZIP Code,Phone,Website,Email/Contact,Key Providers/Specialists,Therapeutic Areas,Products/Drugs Used,Manufacturers/Sponsors,Clinical Trials,Trial Sponsors,Capacity/Beds,NCI Designated,FACT Accredited,Additional Patient Services
LSU Health Sciences Center,1501 Kings Highway,Shreveport,LA,71103,318-675-5000,https://www.lsuhs.edu/our-schools/school-of-medicine/feist-weiller-cancer-center,fwcc@lsuhs.edu,"Dr. Glenn Mills (Hematology), Dr. Kfir Lapid, Dr. Tarek Mekhail","CAR-T, Stem Cell Transplant, Hematologic Malignancies, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy protocols, Novel cellular therapies","LSU Health, NIH/NCI, Industry",200+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial support, Community care"
Roswell Park Comprehensive Cancer Center,Elm and Carlton Streets,Buffalo,NY,14263,716-845-2300,https://www.roswellpark.org,askrpci@roswellpark.org,"Dr. Philip McCarthy (Stem Cell), Dr. Francisco Hernandez-Ilizaliturri, Dr. Sanjay Mohanty","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma, Tecartus","Novartis, Gilead/Kite, BMS","CAR-T optimization, Novel cellular therapies, Gene therapy trials","Roswell Park, NIH/NCI, Industry",500+ cellular therapy patients,Yes - Comprehensive,Yes,"Patient navigation, Housing, Financial assistance, International services"
Fox Chase Cancer Center,333 Cottman Avenue,Philadelphia,PA,19111,215-728-6900,https://www.foxchase.org,fccc-info@fccc.edu,"Dr. Neil Palmisiano (CAR-T), Dr. Margaret Kasner, Dr. Weijing Sun","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel immunotherapies","Fox Chase, NIH/NCI, Industry",350+ cellular therapy patients,Yes - Comprehensive,Yes,"Patient navigation, Financial counseling, Supportive care, Clinical trials"
Tufts Medical Center,800 Washington Street,Boston,MA,02111,617-636-5000,https://www.tuftsmedicalcenter.org/cancer-center,cancercenter@tuftsmedicalcenter.org,"Dr. Andrew Evens (Director), Dr. Vaishali Sanchorawala, Dr. Martha Wadleigh","CAR-T, Stem Cell Transplant, Amyloidosis, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Amyloidosis cellular therapies, CAR-T trials, Novel immunotherapies","Tufts Medical Center, NIH/NCI",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Amyloidosis clinic, Support groups"
University of Texas Health San Antonio,7979 Wurzbach Road,San Antonio,TX,78229,210-450-1000,https://www.uthealthsanantonio.edu/cancer,cancercenter@uthscsa.edu,"Dr. Ruben Niesvizky (Myeloma), Dr. Anuj Mahindra, Dr. Ian Rabinowitz","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Carvykti","Novartis, Gilead/Kite, BMS, Janssen","Multiple myeloma CAR-T, Gene therapy trials, Novel cellular therapies","UT Health San Antonio, NIH/NCI",350+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Clinical trial support, Support"
UT Health Houston,6431 Fannin Street,Houston,TX,77030,713-500-4472,https://www.uth.edu/oncology,oncology@uth.tmc.edu,"Dr. Muzaffar Qazilbash (Stem Cell), Dr. Qaiser Bashir, Dr. Yago Nieto","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Tandem transplant innovations, CAR-T trials, Gene therapy protocols","UT Health Houston, NIH/NCI",400+ cellular therapy patients,No,Yes,"Patient navigation, Housing assistance, Financial counseling, Support"
University of Oklahoma Stephenson Cancer Center,800 NE 10th Street,Oklahoma City,OK,73104,405-271-4022,https://stephensoncancercenter.org,scc-info@ouhsc.edu,"Dr. Jennifer Holter-Chakrabarty (Stem Cell), Dr. Mohamad Cherry, Dr. Katherine Reeder-Hayes","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy studies, Novel cellular therapies","University of Oklahoma, NIH/NCI",250+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Native American outreach, Support"
University of South Carolina,9 Medical Park Road,Columbia,SC,29203,803-434-3200,https://www.prismahealth.org/cancer,cancer@prismahealth.org,"Dr. Sunil Adige (Hematology), Dr. Carolyn Briggs, Dr. James Bearden","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Community cancer care","Prisma Health, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Support"
Beaumont Health - Royal Oak,3601 W 13 Mile Road,Royal Oak,MI,48073,248-551-5000,https://www.beaumont.org/services/cancer-care,cancer-info@beaumont.org,"Dr. Abhinav Deol (CAR-T), Dr. Lois Ayash, Dr. Divaya Bhutani","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Multiple myeloma research, Gene therapy protocols","Beaumont Health, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Supportive care, Clinical trials"
Spectrum Health Cancer Center,1025 Leffingwell Avenue NE,Grand Rapids,MI,49503,616-486-3347,https://www.spectrumhealth.org/services/cancer-care,cancer@spectrumhealth.org,"Dr. Gordan Srkalovic (Medical Oncology), Dr. Kent Hoskins, Dr. Lisa Hollenbeck","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Community-based cellular therapy, Gene therapy","Spectrum Health, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Clinical trial support, Support groups"
Banner University Medical Center Phoenix,1111 E McDowell Road,Phoenix,AZ,85006,602-839-2000,https://www.bannerhealth.com/locations/phoenix/banner-university-medical-center-phoenix,cancer@bannerhealth.com,"Dr. Javier Pinilla-Ibarz (Hematology), Dr. Emily Greenstein, Dr. Daniel Persky","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel cellular therapies","Banner Health, University of Arizona",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Support"
University of Southern California Norris,1441 Eastlake Avenue,Los Angeles,CA,90033,323-865-3000,https://www.uscnorriscancer.usc.edu,norriscancercenter@med.usc.edu,"Dr. Jacqueline Garcia (Stem Cell), Dr. Amir Goldkorn, Dr. Ann Mohrbacher","CAR-T, Stem Cell Transplant, Gene Therapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T optimization, Gene therapy trials, Precision oncology","USC Norris, NIH/NCI, Industry",400+ cellular therapy patients,Yes - Comprehensive,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
UC San Diego Moores Cancer Center,3855 Health Sciences Drive,La Jolla,CA,92093,858-822-6100,https://cancer.ucsd.edu,moorescancercenter@ucsd.edu,"Dr. Carolyn Mulroney (Myeloma), Dr. Matthew Wieduwilt, Dr. Catriona Jamieson","CAR-T, Stem Cell Transplant, Gene Therapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Precision oncology, Gene therapy protocols","UC San Diego, NIH/NCI, Industry",400+ cellular therapy patients,Yes - Comprehensive,Yes,"Patient navigation, Financial assistance, Clinical research, Support groups"
UC Irvine Chao Family Cancer Center,101 The City Drive South,Orange,CA,92868,714-456-8000,https://www.ucihealth.org/medical-services/cancer,chaofamilycc@uci.edu,"Dr. Lihua Budde (Lymphoma CAR-T), Dr. Deepa Jeyakumar, Dr. Leonard Sender","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Lymphoma CAR-T trials, Gene therapy studies, Novel immunotherapies","UC Irvine, NIH/NCI, Industry",350+ cellular therapy patients,Yes - Comprehensive,Yes,"Patient navigation, Financial services, Clinical trial support, Support"
UC Davis Comprehensive Cancer Center,4501 X Street,Sacramento,CA,95817,916-734-5959,https://health.ucdavis.edu/cancer,cancer@ucdmc.ucdavis.edu,"Dr. Joseph Tuscano (Lymphoma), Dr. Brian Jonas, Dr. Mehrdad Abedi","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy protocols, Novel cellular therapies","UC Davis, NIH/NCI, Industry",350+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Support"
Keck Medical Center of USC,1500 San Pablo Street,Los Angeles,CA,90033,323-442-8500,https://www.keckmedicine.org/services-specialties/cancer-services,keckcancer@med.usc.edu,"Dr. Amir Goldkorn (Oncology), Dr. Casey O'Connell, Dr. Ann Mohrbacher","CAR-T, Stem Cell Transplant, Gene Therapy, Precision Medicine","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Precision oncology research","Keck Medicine, NIH/NCI, Industry",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical research, Support"
Montefiore Einstein Cancer Center,1695 Eastchester Road,Bronx,NY,10461,718-904-2730,https://www.montefiore.org/cancer-care,cancercenter@montefiore.org,"Dr. Amit Verma (Stem Cell), Dr. Dennis Cooper, Dr. Sanjay Goel","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Health disparities research, Gene therapy protocols","Montefiore Einstein, NIH/NCI",350+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Language services, Community outreach"
Albert Einstein College of Medicine,1300 Morris Park Avenue,Bronx,NY,10461,718-430-2000,https://einsteinmed.edu,cancer@einsteinmed.edu,"Dr. Amit Verma (Hematology), Dr. Kira Gritsman, Dr. Ulrich Steidl","Gene Therapy, Stem Cell Research, MDS/AML, CRISPR Editing","Experimental gene therapy protocols, CRISPR-edited cells","Einstein, NIH/NCI, Industry","Gene editing for blood disorders, Novel cellular therapies, MDS research","Albert Einstein, NIH/NCI",Research and clinical trials,No,No,"Clinical trial participation, Research support, Patient education"
Atrium Health Levine Cancer Institute,1021 Morehead Medical Drive,Charlotte,NC,28204,980-442-2000,https://atriumhealth.org/medical-services/specialty-care/cancer-care,levine.cancer@atriumhealth.org,"Dr. Edward Donnell (CAR-T), Dr. Peter Voorhees, Dr. Christopher Gasparetto","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Carvykti","Novartis, Gilead/Kite, BMS, Janssen","Multiple myeloma CAR-T, Gene therapy trials, Novel cellular therapies","Atrium Health, Industry sponsors",400+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support groups"
Intermountain Healthcare,5121 S Cottonwood Street,Murray,UT,84107,801-507-7000,https://intermountainhealthcare.org/services/cancer-care,cancerservices@imail.org,"Dr. Douglas Sborov (Myeloma), Dr. Paul Shami, Dr. Michael Deininger","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Multiple myeloma research, CAR-T trials, Gene therapy protocols","Intermountain, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Integrated care, Support"
Ochsner Health System,1514 Jefferson Highway,New Orleans,LA,70121,504-842-3000,https://www.ochsner.org/services/cancer-care,cancercare@ochsner.org,"Dr. Marc Matrana (Oncology), Dr. Nakhle Saba, Dr. Amer Zeidan","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T clinical trials, Gene therapy studies, Novel cellular therapies","Ochsner, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
Virginia Mason Franciscan Health,1100 9th Avenue,Seattle,WA,98101,206-223-6600,https://www.virginiamason.org/cancer-care,cancercare@vmfh.org,"Dr. David Aboulafia (Oncology), Dr. Rafael Madero-Marroquin, Dr. Jose Soto","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Community-based cellular therapy, Gene therapy","Virginia Mason, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Providence Portland Medical Center,4805 NE Glisan Street,Portland,OR,97213,503-215-1111,https://www.providence.org/locations/or/portland-medical-center,cancer@providence.org,"Dr. John Godwin (Oncology), Dr. Rachel Sanborn, Dr. Brendan Curti","CAR-T, Stem Cell Transplant, Immunotherapy, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Immunotherapy research, Gene therapy protocols","Providence, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Spiritual care"
Billings Clinic,2800 10th Avenue North,Billings,MT,59101,406-238-2500,https://www.billingsclinic.com/services/cancer-care,cancer@billingsclinic.org,"Dr. Benjamin Marchello (Oncology), Dr. David Glazer, Dr. Alan Trusler","CAR-T, Stem Cell Transplant, Regional Cancer Care, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Rural cancer care delivery, Gene therapy access","Billings Clinic, Industry sponsors",150+ cellular therapy patients,No,Yes,"Patient navigation, Travel assistance, Financial counseling, Rural outreach"
MultiCare Health System,315 MLK Jr Way,Tacoma,WA,98405,253-403-1000,https://www.multicare.org/cancer-care,cancerservices@multicare.org,"Dr. Sibel Blau (Oncology), Dr. Erin Kross, Dr. Christian Thomas","CAR-T, Stem Cell Transplant, Gene Therapy, Community Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Community-based cellular therapy, Gene therapy","MultiCare, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Support"
Baylor Scott & White Medical Center,2401 S 31st Street,Temple,TX,76508,254-724-2111,https://www.bswhealth.com/locations/temple,cancer@bswhealth.com,"Dr. Carlos Becerra (Oncology), Dr. Gerald Miletello, Dr. Ravi Sarode","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Baylor Scott & White, Industry",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Advocate Aurora Health,1700 W Van Buren Street,Chicago,IL,60612,312-942-5000,https://www.advocatehealth.com/services/cancer-care,cancercare@aah.org,"Dr. Myo Htut (Oncology), Dr. Heidi Finnes, Dr. James Wade","CAR-T, Stem Cell Transplant, Gene Therapy, Community Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Community-based cellular therapy, Gene therapy","Advocate Aurora, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
University Medical Center of Princeton,1 Plainsboro Road,Plainsboro,NJ,08536,609-497-4000,https://www.princetonhcs.org/care-services/cancer-care,cancercare@princetonhcs.org,"Dr. Mark Stein (Oncology), Dr. Susan Goodin, Dr. Lorna Rodriguez","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Princeton HealthCare, Industry",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Cleveland Clinic Florida,2950 Cleveland Clinic Blvd,Weston,FL,33331,954-659-5000,https://my.clevelandclinic.org/florida,cancercare@ccf.org,"Dr. Jorge Cortes (Leukemia), Dr. Maria Florencia Geller, Dr. Cristina Gasparetto","CAR-T, Stem Cell Transplant, Leukemia, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Leukemia CAR-T trials, Gene therapy studies, Novel cellular therapies","Cleveland Clinic, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, International services, Financial counseling, Support"
Northwell Health,270-05 76th Avenue,New Hyde Park,NY,11040,516-734-8900,https://www.northwell.edu/cancer-institute,cancer@northwell.edu,"Dr. Richard Steingart (Oncology), Dr. Jacqueline Barrientos, Dr. Ruthee-Lu Bayer","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Northwell Health, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
Geisinger Medical Center,100 N Academy Avenue,Danville,PA,17822,570-271-6211,https://www.geisinger.org/services/cancer,cancerservices@geisinger.edu,"Dr. Saurabh Rajguru (Oncology), Dr. Kimberly Walker, Dr. Witold Rybka","CAR-T, Stem Cell Transplant, Gene Therapy, Rural Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Rural cancer care delivery, Gene therapy access","Geisinger, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Travel assistance, Financial counseling, Rural outreach"
Dignity Health - St. Joseph's Hospital,350 W Thomas Road,Phoenix,AZ,85013,602-406-3000,https://www.dignityhealth.org/arizona/locations/stjosephs,cancer@dignityhealth.org,"Dr. Nidhi Sharma (Oncology), Dr. Michael Gordon, Dr. Raoul Tibes","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Dignity Health, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Spiritual care"
HonorHealth Research Institute,10510 N 92nd Street,Scottsdale,AZ,85258,480-323-1000,https://www.honorhealth.com/services/cancer-care,cancer@honorhealth.com,"Dr. Michael Gordon (Oncology), Dr. Shawn Glisson, Dr. Frank Tsai","CAR-T, Stem Cell Transplant, Gene Therapy, Clinical Research","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel immunotherapies","HonorHealth, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Penn State Health Milton S. Hershey Medical Center,500 University Drive,Hershey,PA,17033,717-531-8521,https://www.pennstatehealth.org/services/cancer,cancer@pennstatehealth.psu.edu,"Dr. Joseph Drabick (Oncology), Dr. Shin Mineishi, Dr. Hong Zheng","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Penn State Health, NIH/NCI",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial services, Clinical trial coordination, Rural outreach"
University of Tennessee Health Science Center,910 Madison Avenue,Memphis,TN,38163,901-448-5500,https://www.uthsc.edu/cancer,cancer@uthsc.edu,"Dr. Lee Cranmer (Oncology), Dr. Robert Bast, Dr. Mitchell Cairo","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel cellular therapies","UTHSC, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Support"
University of Arkansas for Medical Sciences,4301 W Markham Street,Little Rock,AR,72205,501-686-8511,https://www.uams.edu/cancer,cancer@uams.edu,"Dr. Bart Barlogie (Multiple Myeloma), Dr. Frits van Rhee, Dr. Carolina Schinke","CAR-T, Stem Cell Transplant, Multiple Myeloma, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma, Carvykti","Novartis, Gilead/Kite, BMS, Janssen","Multiple myeloma CAR-T, Total therapy protocols, Gene therapy trials","UAMS, NIH/NCI, Industry",500+ myeloma patients,No,Yes,"Myeloma Institute support, Financial assistance, Housing, Clinical trials"
Avera Cancer Institute,1325 S Cliff Avenue,Sioux Falls,SD,57105,605-322-6900,https://www.avera.org/locations/avera-cancer-institute,cancer@avera.org,"Dr. Casey Williams (Oncology), Dr. Mohamed Mahmoud, Dr. Brian Leyland-Jones","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Rural cancer care delivery, Gene therapy access","Avera, Industry sponsors",150+ cellular therapy patients,No,Yes,"Patient navigation, Travel assistance, Financial counseling, Rural outreach"
Sanford Health,1305 W 18th Street,Sioux Falls,SD,57105,605-333-1000,https://www.sanfordhealth.org/services/cancer,cancercare@sanfordhealth.org,"Dr. David Pearce (Cancer Research), Dr. Steven Powell, Dr. Preston Steen","CAR-T, Stem Cell Transplant, Gene Therapy, Rural Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Precision oncology, Gene therapy protocols","Sanford Health, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Telemedicine, Rural services"
Essentia Health,502 E 2nd Street,Duluth,MN,55805,218-786-8376,https://www.essentiahealth.org/services/cancer-care,cancerservices@essentiahealth.org,"Dr. Kenneth Dornfeld (Oncology), Dr. Daniel Anderson, Dr. Michael Marolt","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Rural cancer care delivery, Gene therapy access","Essentia Health, Industry sponsors",150+ cellular therapy patients,No,Yes,"Patient navigation, Travel assistance, Financial counseling, Rural outreach"
CHI Health,601 N 30th Street,Omaha,NE,68131,402-280-4000,https://www.chihealth.com/cancer-care,cancer@chihealth.com,"Dr. Gamini Soori (Oncology), Dr. Stefano Tarantolo, Dr. Ralph Hauke","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","CHI Health, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Spiritual care"
HealthPartners Cancer Care,205 Wabasha Street S,St. Paul,MN,55107,651-254-3456,https://www.healthpartners.com/care/specialty/cancer,cancercare@healthpartners.com,"Dr. Daniel Anderson (Oncology), Dr. Anne Blaes, Dr. Vicki Plano Clark","CAR-T, Stem Cell Transplant, Gene Therapy, Community Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Community-based cellular therapy, Gene therapy","HealthPartners, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial services, Clinical trial coordination, Support"
Norton Healthcare,200 E Chestnut Street,Louisville,KY,40202,502-629-8000,https://www.nortonhealthcare.com/services-and-conditions/cancer,cancer@nortonhealthcare.org,"Dr. John Hamm (Oncology), Dr. Goetz Kloecker, Dr. Don Stevens","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Norton Healthcare, Industry",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Trinity Health,20555 Victor Parkway,Livonia,MI,48152,734-343-1000,https://www.trinity-health.org/services/cancer-care,cancer@trinity-health.org,"Dr. Philip Stella (Oncology), Dr. Gordan Srkalovic, Dr. Kathleen Gallagher","CAR-T, Stem Cell Transplant, Gene Therapy, Community Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Community-based cellular therapy, Gene therapy","Trinity Health, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Spiritual care"
Baptist Health South Florida,6855 Red Road,Coral Gables,FL,33143,786-596-2000,https://www.baptisthealth.net/en/services/cancer-care,cancer@baptisthealth.net,"Dr. Michael Zinner (Cancer Institute), Dr. Paulo Pinheiro, Dr. Jesus Gomez","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Baptist Health, Industry sponsors",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Language services, Support"
AdventHealth Orlando,601 E Rollins Street,Orlando,FL,32803,407-303-2115,https://www.adventhealth.com/services/cancer-care,cancer@adventhealth.com,"Dr. Julio Pow-Sang (Cancer Institute), Dr. Mark Stein, Dr. Harshad Kulkarni","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel cellular therapies","AdventHealth, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Spiritual care"
Houston Methodist Hospital,6565 Fannin Street,Houston,TX,77030,713-790-3333,https://www.houstonmethodist.org/cancer-center,cancer@houstonmethodist.org,"Dr. Jorge Cortes (Leukemia), Dr. Krina Patel, Dr. Sajjad Shahab","CAR-T, Stem Cell Transplant, Leukemia, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Leukemia CAR-T trials, Gene therapy protocols, Novel cellular therapies","Houston Methodist, Industry",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
Baylor University Medical Center,3500 Gaston Avenue,Dallas,TX,75246,214-820-0111,https://www.bswhealth.com/locations/dallas,cancer@baylorhealth.edu,"Dr. Carlos Becerra (Oncology), Dr. Pankaj Gupta, Dr. Robert Collins","CAR-T, Stem Cell Transplant, Gene Therapy, Regional Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Novel cellular therapies","Baylor Health, Industry sponsors",300+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial coordination, Support"
